UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
115658,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",12,"R",0,"R",12,"R",2,"R",17,"R",9,"R",75,"Z",0,"R",12,"R",0,"Z",0,"R",9,"R",75
115728,"R",112,"R",0,"R",112,"R",35,"R",31,"R",50,"R",45,"R",0,"R",112,"R",1,"R",30,"R",51,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
115755,"R",1282,"R",0,"R",1282,"R",188,"R",15,"R",585,"R",46,"R",0,"R",1282,"R",44,"R",13,"R",629,"R",49,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
115773,"R",15,"R",0,"R",15,"R",3,"R",20,"R",7,"R",47,"R",0,"R",15,"R",1,"R",0,"R",8,"R",53,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
115861,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1037,"R",0,"R",1037,"R",80,"R",8,"R",283,"R",27,"R",0,"R",1037,"R",117,"R",113,"R",400,"R",39
115931,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",227,"R",0,"R",227,"R",143,"R",63,"R",179,"R",79,"R",0,"R",227,"R",1,"R",0,"R",180,"R",79
116350,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",112,"R",0,"R",112,"R",9,"R",8,"R",79,"R",71,"Z",0,"R",112,"R",1,"Z",0,"R",80,"R",71
116439,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1380,"R",0,"R",1380,"R",272,"R",20,"R",623,"R",45,"R",0,"R",1380,"R",88,"R",73,"R",711,"R",52
116563,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",47,"R",0,"R",47,"R",1,"R",2,"R",40,"R",85,"Z",0,"R",47,"R",0,"Z",0,"R",40,"R",85
116846,"R",14,"R",0,"R",14,"R",4,"R",29,"R",6,"R",43,"R",0,"R",14,"R",1,"R",0,"R",7,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
117052,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1824,"R",0,"R",1824,"R",168,"R",9,"R",444,"R",24,"R",0,"R",1824,"R",150,"R",127,"R",594,"R",33
117104,"R",33,"R",0,"R",33,"R",17,"R",52,"R",19,"R",58,"Z",0,"R",33,"R",1,"Z",0,"R",20,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
117113,"R",180,"R",1,"R",179,"R",74,"R",41,"R",81,"R",45,"Z",0,"R",179,"R",1,"Z",0,"R",82,"R",46,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
117140,"R",536,"R",6,"R",530,"R",254,"R",48,"R",352,"R",66,"R",0,"R",530,"R",6,"R",0,"R",358,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
117168,"R",56,"R",0,"R",56,"R",13,"R",23,"R",24,"R",43,"R",0,"R",56,"R",0,"R",1,"R",24,"R",43,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
117195,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",110,"R",0,"R",110,"R",20,"R",18,"R",32,"R",29,"R",0,"R",110,"R",2,"R",9,"R",34,"R",31
117238,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",43,"R",0,"R",43,"R",25,"R",58,"R",32,"R",74,"Z",0,"R",43,"R",0,"Z",0,"R",32,"R",74
117247,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",301,"R",0,"R",301,"R",36,"R",12,"R",74,"R",25,"R",0,"R",301,"R",17,"R",30,"R",91,"R",30
117274,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",181,"R",0,"R",181,"R",24,"R",13,"R",44,"R",24,"R",0,"R",181,"R",3,"R",3,"R",47,"R",26
117557,"R",19,"R",0,"R",19,"R",9,"R",47,"R",9,"R",47,"Z",0,"R",19,"R",0,"Z",0,"R",9,"R",47,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
117575,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"Z",0,"R",1,"R",0,"Z",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
117627,"R",240,"R",0,"R",240,"R",54,"R",23,"R",113,"R",47,"R",0,"R",240,"R",6,"R",7,"R",119,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
117645,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2436,"R",0,"R",2436,"R",130,"R",5,"R",461,"R",19,"R",0,"R",2436,"R",215,"R",348,"R",676,"R",28
117690,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",656,"R",0,"R",656,"R",53,"R",8,"R",151,"R",23,"R",0,"R",656,"R",53,"R",80,"R",204,"R",31
117706,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1236,"R",0,"R",1236,"R",136,"R",11,"R",371,"R",30,"R",0,"R",1236,"R",119,"R",147,"R",490,"R",40
117715,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",198,"R",0,"R",198,"R",9,"R",5,"R",24,"R",12,"R",0,"R",198,"R",10,"R",7,"R",34,"R",17
117724,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",448,"R",0,"R",448,"R",77,"R",17,"R",123,"R",27,"R",0,"R",448,"R",26,"R",32,"R",149,"R",33
117733,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",853,"R",0,"R",853,"R",60,"R",7,"R",180,"R",21,"R",0,"R",853,"R",68,"R",115,"R",248,"R",29
117751,"R",206,"R",0,"R",206,"R",114,"R",55,"R",141,"R",68,"Z",0,"R",206,"R",0,"Z",0,"R",141,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
117788,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",712,"R",0,"R",712,"R",57,"R",8,"R",146,"R",21,"R",0,"R",712,"R",55,"R",86,"R",201,"R",28
117867,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",505,"R",0,"R",505,"R",20,"R",4,"R",94,"R",19,"R",0,"R",505,"R",29,"R",61,"R",123,"R",24
117894,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",699,"R",0,"R",699,"R",82,"R",12,"R",235,"R",34,"R",0,"R",699,"R",73,"R",60,"R",308,"R",44
117946,"R",1378,"R",0,"R",1378,"R",1023,"R",74,"R",1146,"R",83,"R",0,"R",1378,"R",9,"R",3,"R",1155,"R",84,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
117955,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",87,"R",0,"R",87,"R",10,"R",11,"R",61,"R",70,"R",0,"R",87,"R",0,"R",0,"R",61,"R",70
118134,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14,"R",0,"R",14,"R",0,"R",0,"R",12,"R",86,"Z",0,"R",14,"R",0,"Z",0,"R",12,"R",86
118143,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",14,"R",0,"R",14,"R",3,"R",21,"R",9,"R",64,"Z",0,"R",14,"R",0,"Z",0,"R",9,"R",64
118161,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",43,"R",0,"R",43,"R",4,"R",9,"R",34,"R",79,"Z",0,"R",43,"R",0,"Z",0,"R",34,"R",79
118189,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",10,"R",0,"R",10,"R",8,"R",80,"R",8,"R",80,"R",0,"R",10,"R",0,"R",0,"R",8,"R",80
118198,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",228,"R",0,"R",228,"R",50,"R",22,"R",145,"R",64,"R",0,"R",228,"R",18,"R",0,"R",163,"R",71
118347,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",203,"R",0,"R",203,"R",23,"R",11,"R",60,"R",30,"R",0,"R",203,"R",18,"R",20,"R",78,"R",38
118541,"R",379,"R",0,"R",379,"R",41,"R",11,"R",71,"R",19,"R",0,"R",379,"R",3,"R",0,"R",74,"R",20,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
118684,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",217,"R",0,"R",217,"R",12,"R",6,"R",48,"R",22,"Z",0,"R",217,"R",0,"Z",0,"R",48,"R",22
118693,"R",104,"R",0,"R",104,"R",60,"R",58,"R",74,"R",71,"Z",0,"R",104,"R",1,"R",1,"R",75,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
118718,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1057,"R",0,"R",1057,"R",79,"R",7,"R",261,"R",25,"R",0,"R",1057,"Z",0,"Z",0,"R",261,"R",25
118772,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",187,"R",0,"R",187,"R",12,"R",6,"R",32,"R",17,"R",0,"R",187,"R",8,"R",18,"R",40,"R",21
118888,"R",198,"R",1,"R",197,"R",121,"R",61,"R",130,"R",66,"R",0,"R",197,"R",2,"R",0,"R",132,"R",67,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
118930,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",294,"R",0,"R",294,"R",29,"R",10,"R",72,"R",24,"R",0,"R",294,"R",26,"R",31,"R",98,"R",33
118958,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",23,"R",0,"R",23,"R",5,"R",22,"R",12,"R",52,"Z",0,"R",23,"R",0,"Z",0,"R",12,"R",52
118994,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",35,"R",0,"R",35,"R",2,"R",6,"R",22,"R",63,"Z",0,"R",35,"R",0,"Z",0,"R",22,"R",63
119067,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",550,"R",0,"R",550,"R",40,"R",7,"R",147,"R",27,"R",0,"R",550,"R",43,"R",62,"R",190,"R",35
119137,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1702,"R",0,"R",1702,"R",252,"R",15,"R",642,"R",38,"R",0,"R",1702,"R",172,"R",154,"R",814,"R",48
119164,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2540,"R",0,"R",2540,"R",307,"R",12,"R",822,"R",32,"R",0,"R",2540,"R",281,"R",308,"R",1103,"R",43
119173,"R",286,"R",0,"R",286,"R",140,"R",49,"R",185,"R",65,"R",0,"R",286,"R",4,"R",0,"R",189,"R",66,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
119216,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1109,"R",0,"R",1109,"R",94,"R",8,"R",290,"R",26,"R",0,"R",1109,"R",96,"R",126,"R",386,"R",35
119270,"R",14,"R",0,"R",14,"Z",0,"R",0,"R",1,"R",7,"Z",0,"R",14,"R",0,"R",0,"R",1,"R",7,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
119331,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",529,"R",0,"R",529,"R",60,"R",11,"R",178,"R",34,"R",0,"R",529,"R",58,"R",53,"R",236,"R",45
119553,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",189,"R",0,"R",189,"R",133,"R",70,"R",139,"R",74,"Z",0,"R",189,"R",0,"Z",0,"R",139,"R",74
119605,"R",50,"R",0,"R",50,"R",3,"R",6,"R",21,"R",42,"R",0,"R",50,"R",1,"R",2,"R",22,"R",44,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
119775,"R",22,"R",0,"R",22,"R",3,"R",14,"R",7,"R",32,"Z",0,"R",22,"R",1,"Z",0,"R",8,"R",36,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
119845,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",70,"R",0,"R",70,"R",23,"R",33,"R",53,"R",76,"R",0,"R",70,"R",1,"R",0,"R",54,"R",77
119951,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",133,"R",0,"R",133,"R",23,"R",17,"R",78,"R",59,"Z",0,"R",133,"R",0,"Z",0,"R",78,"R",59
120069,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",212,"R",0,"R",212,"R",50,"R",24,"R",147,"R",69,"Z",0,"R",212,"R",0,"Z",0,"R",147,"R",69
120078,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",484,"R",0,"R",484,"R",114,"R",24,"R",332,"R",69,"Z",0,"R",484,"R",0,"Z",0,"R",332,"R",69
120087,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",175,"R",0,"R",175,"R",48,"R",27,"R",107,"R",61,"Z",0,"R",175,"R",0,"Z",0,"R",107,"R",61
120184,"R",145,"R",0,"R",145,"R",50,"R",34,"R",73,"R",50,"R",0,"R",145,"R",1,"R",0,"R",74,"R",51,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
120254,"R",573,"R",0,"R",573,"R",436,"R",76,"R",463,"R",81,"R",0,"R",573,"R",4,"R",1,"R",467,"R",82,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
120290,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",758,"R",0,"R",758,"R",132,"R",17,"R",314,"R",41,"R",0,"R",758,"R",90,"R",56,"R",404,"R",53
120342,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2245,"R",0,"R",2245,"R",311,"R",14,"R",866,"R",39,"R",0,"R",2245,"R",176,"R",170,"R",1042,"R",46
120403,"R",167,"R",0,"R",167,"R",84,"R",50,"R",100,"R",60,"R",0,"R",167,"R",3,"R",0,"R",103,"R",62,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
120421,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",579,"R",0,"R",579,"R",44,"R",8,"R",138,"R",24,"R",0,"R",579,"R",63,"R",68,"R",201,"R",35
120537,"R",85,"R",8,"R",77,"R",23,"R",30,"R",33,"R",43,"R",0,"R",77,"R",2,"R",3,"R",35,"R",45,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
120661,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",645,"R",0,"R",645,"R",262,"R",41,"R",481,"R",75,"R",0,"R",645,"R",7,"R",0,"R",488,"R",76
120865,"R",268,"R",0,"R",268,"R",82,"R",31,"R",128,"R",48,"R",0,"R",268,"R",3,"R",1,"R",131,"R",49,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
120883,"R",865,"R",0,"R",865,"R",430,"R",50,"R",591,"R",68,"Z",0,"R",865,"R",10,"R",0,"R",601,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
120953,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",83,"R",0,"R",83,"R",9,"R",11,"R",15,"R",18,"R",0,"R",83,"R",4,"R",5,"R",19,"R",23
120971,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1943,"R",0,"R",1943,"R",174,"R",9,"R",554,"R",29,"R",0,"R",1943,"R",168,"R",219,"R",722,"R",37
121044,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2798,"R",0,"R",2798,"R",389,"R",14,"R",1013,"R",36,"R",0,"R",2798,"R",263,"R",252,"R",1276,"R",46
121150,"R",635,"R",0,"R",635,"R",485,"R",76,"R",553,"R",87,"R",0,"R",635,"R",3,"R",0,"R",556,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
121257,"R",274,"R",0,"R",274,"R",227,"R",83,"R",240,"R",88,"R",0,"R",274,"R",2,"R",0,"R",242,"R",88,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
121309,"R",588,"R",0,"R",588,"R",367,"R",62,"R",417,"R",71,"R",0,"R",588,"R",3,"R",1,"R",420,"R",71,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
121345,"R",401,"R",0,"R",401,"R",369,"R",92,"R",389,"R",97,"R",0,"R",401,"R",1,"R",0,"R",390,"R",97,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
121363,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",417,"R",0,"R",417,"R",26,"R",6,"R",117,"R",28,"R",0,"R",417,"R",38,"R",50,"R",155,"R",37
121433,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",66,"R",0,"R",66,"R",18,"R",27,"R",42,"R",64,"Z",0,"R",66,"R",0,"Z",0,"R",42,"R",64
121637,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",49,"R",1,"R",48,"R",16,"R",33,"R",31,"R",65,"Z",0,"R",48,"R",0,"Z",0,"R",31,"R",65
121691,"R",646,"R",0,"R",646,"R",418,"R",65,"R",479,"R",74,"Z",0,"R",646,"R",5,"R",0,"R",484,"R",75,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
121707,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",423,"R",0,"R",423,"R",26,"R",6,"R",85,"R",20,"R",0,"R",423,"R",33,"R",56,"R",118,"R",28
121859,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",45,"R",0,"R",45,"R",14,"R",31,"R",38,"R",84,"Z",0,"R",45,"R",0,"Z",0,"R",38,"R",84
121868,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",88,"R",1,"R",87,"R",25,"R",29,"R",65,"R",75,"Z",0,"R",87,"R",0,"Z",0,"R",65,"R",75
121901,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1491,"R",0,"R",1491,"R",138,"R",9,"R",416,"R",28,"R",0,"R",1491,"R",151,"R",134,"R",567,"R",38
121983,"R",2,"R",0,"R",2,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",2,"R",0,"Z",0,"R",0,"R",0,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
121992,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",262,"R",0,"R",262,"R",19,"R",7,"R",223,"R",85,"R",0,"R",262,"R",4,"R",0,"R",227,"R",87
122180,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1223,"R",0,"R",1223,"R",87,"R",7,"R",299,"R",24,"R",0,"R",1223,"R",103,"R",141,"R",402,"R",33
122205,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1304,"R",0,"R",1304,"R",198,"R",15,"R",490,"R",38,"Z",0,"R",1304,"R",0,"Z",0,"R",490,"R",38
122339,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",922,"R",0,"R",922,"R",58,"R",6,"R",210,"R",23,"R",0,"R",922,"R",79,"R",81,"R",289,"R",31
122384,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",637,"R",0,"R",637,"R",84,"R",13,"R",250,"R",39,"R",0,"R",637,"R",63,"R",49,"R",313,"R",49
122409,"R",3031,"R",0,"R",3031,"R",1017,"R",34,"R",2222,"R",73,"R",0,"R",3031,"R",109,"R",18,"R",2331,"R",77,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
122436,"R",1149,"R",1,"R",1148,"R",752,"R",66,"R",893,"R",78,"R",0,"R",1148,"R",7,"R",1,"R",900,"R",78,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
122454,"R",73,"R",0,"R",73,"R",28,"R",38,"R",29,"R",40,"Z",0,"R",73,"R",0,"Z",0,"R",29,"R",40,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
122506,"R",42,"R",0,"R",42,"R",27,"R",64,"R",29,"R",69,"Z",0,"R",42,"R",0,"Z",0,"R",29,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
122597,"R",3609,"R",0,"R",3609,"R",648,"R",18,"R",1920,"R",53,"R",0,"R",3609,"R",148,"R",33,"R",2068,"R",57,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
122612,"R",1172,"R",1,"R",1171,"R",721,"R",62,"R",841,"R",72,"R",0,"R",1171,"R",8,"R",1,"R",849,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
122658,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2061,"R",0,"R",2061,"R",174,"R",8,"R",545,"R",26,"R",0,"R",2061,"R",186,"R",215,"R",731,"R",35
122728,"R",116,"R",0,"R",116,"R",62,"R",53,"R",75,"R",65,"R",0,"R",116,"R",4,"R",0,"R",79,"R",68,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
122746,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",392,"R",0,"R",392,"R",51,"R",13,"R",100,"R",26,"R",0,"R",392,"R",27,"R",34,"R",127,"R",32
122755,"R",2697,"R",0,"R",2697,"R",302,"R",11,"R",1674,"R",62,"R",0,"R",2697,"R",212,"R",34,"R",1886,"R",70,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
122791,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",654,"R",0,"R",654,"R",118,"R",18,"R",256,"R",39,"R",0,"R",654,"R",62,"R",33,"R",318,"R",49
122889,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",2860,"R",0,"R",2860,"R",530,"R",19,"R",1005,"R",35,"R",0,"R",2860,"R",135,"R",73,"R",1140,"R",40
122931,"R",1296,"R",1,"R",1295,"R",1056,"R",82,"R",1148,"R",89,"R",0,"R",1295,"R",9,"R",0,"R",1157,"R",89,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
123013,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1553,"R",0,"R",1553,"R",212,"R",14,"R",541,"R",35,"R",0,"R",1553,"R",144,"R",167,"R",685,"R",44
123165,"R",262,"R",0,"R",262,"R",209,"R",80,"R",220,"R",84,"Z",0,"R",262,"R",3,"Z",0,"R",223,"R",85,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
123217,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1413,"R",0,"R",1413,"R",167,"R",12,"R",412,"R",29,"R",0,"R",1413,"R",100,"R",131,"R",512,"R",36
123280,"R",6,"R",0,"R",6,"R",3,"R",50,"R",3,"R",50,"R",0,"R",6,"R",0,"R",2,"R",3,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
