UNITID,XBAREVCT,BAREVCT,XBAEXCLU,BAEXCLU,XBAAC150,BAAC150,XBANC100,BANC100,XBAGR100,BAGR100,XBANC150,BANC150,XBAGR150,BAGR150,XBAAEXCL,BAAEXCL,XBAAC200,BAAC200,XBANC20A,BANC200A,XBASTEND,BASTEND,XBANC200,BANC200,XBAGR200,BAGR200,XL4REVCT,L4REVCT,XL4EXCLU,L4EXCLU,XL4AC150,L4AC150,XL4NC100,L4NC100,XL4GR100,L4GR100,XL4NC150,L4NC150,XL4GR150,L4GR150,XL4AEXCL,L4AEXCL,XL4AC200,L4AC200,XL4NC20A,L4NC200A,XL4STEND,L4STEND,XL4NC200,L4NC200,XL4GR200,L4GR200 
108852,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",146,"R",0,"R",146,"R",101,"R",69,"R",101,"R",69,"Z",0,"R",146,"R",0,"Z",0,"R",101,"R",69
108977,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",20,"R",0,"R",20,"R",15,"R",75,"R",15,"R",75,"Z",0,"R",20,"R",0,"Z",0,"R",15,"R",75
109040,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",491,"R",0,"R",491,"R",168,"R",34,"R",344,"R",70,"R",0,"R",491,"R",18,"R",5,"R",362,"R",74
109208,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1208,"R",0,"R",1208,"R",124,"R",10,"R",344,"R",28,"R",0,"R",1208,"R",113,"R",153,"R",457,"R",38
109651,"R",133,"R",1,"R",132,"R",37,"R",28,"R",95,"R",72,"Z",0,"R",132,"R",5,"R",1,"R",100,"R",76,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
109721,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",344,"R",0,"R",344,"R",194,"R",56,"R",219,"R",64,"Z",0,"R",344,"R",0,"Z",0,"R",219,"R",64
109730,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",119,"R",0,"R",119,"R",59,"R",50,"R",73,"R",61,"Z",0,"R",119,"R",0,"Z",0,"R",73,"R",61
109785,"R",1192,"R",0,"R",1192,"R",610,"R",51,"R",837,"R",70,"R",0,"R",1192,"R",18,"R",4,"R",855,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
109907,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",199,"R",0,"R",199,"R",13,"R",7,"R",31,"R",16,"R",0,"R",199,"R",15,"R",13,"R",46,"R",23
109934,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",73,"R",0,"R",73,"Z",0,"R",0,"R",53,"R",73,"Z",0,"R",73,"R",0,"Z",0,"R",53,"R",73
110060,"R",32,"R",0,"R",32,"R",9,"R",28,"R",13,"R",41,"Z",0,"R",32,"R",0,"Z",0,"R",13,"R",41,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110097,"R",877,"R",0,"R",877,"R",471,"R",54,"R",630,"R",72,"R",0,"R",877,"R",15,"R",4,"R",645,"R",74,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110194,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",292,"R",0,"R",292,"R",211,"R",72,"R",243,"R",83,"R",0,"R",292,"R",0,"R",0,"R",243,"R",83
110246,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1266,"R",0,"R",1266,"R",150,"R",12,"R",396,"R",31,"R",0,"R",1266,"R",110,"R",114,"R",506,"R",40
110334,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"R",1007,"R",0,"R",1007,"R",91,"R",9,"R",259,"R",26,"R",0,"R",1007,"R",104,"R",144,"R",363,"R",36
110361,"R",804,"R",1,"R",803,"R",336,"R",42,"R",480,"R",60,"R",0,"R",803,"R",26,"R",0,"R",506,"R",63,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110370,"R",229,"R",0,"R",229,"R",95,"R",41,"R",137,"R",60,"R",0,"R",229,"R",3,"R",1,"R",140,"R",61,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110404,"R",222,"R",2,"R",220,"R",179,"R",81,"R",206,"R",94,"R",-1,"R",221,"R",1,"R",1,"R",207,"R",94,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110413,"R",556,"R",0,"R",556,"R",373,"R",67,"R",407,"R",73,"R",0,"R",556,"R",1,"R",0,"R",408,"R",73,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110422,"R",3459,"R",0,"R",3459,"R",1634,"R",47,"R",2758,"R",80,"R",0,"R",3459,"R",49,"R",9,"R",2807,"R",81,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110486,"R",1013,"R",0,"R",1013,"R",148,"R",15,"R",433,"R",43,"R",0,"R",1013,"R",46,"R",24,"R",479,"R",47,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110495,"R",998,"R",0,"R",998,"R",156,"R",16,"R",571,"R",57,"R",0,"R",998,"R",73,"R",23,"R",644,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110510,"R",1747,"R",0,"R",1747,"R",251,"R",14,"R",956,"R",55,"R",0,"R",1747,"R",159,"R",26,"R",1115,"R",64,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110529,"R",1923,"R",0,"R",1923,"R",352,"R",18,"R",1318,"R",69,"R",0,"R",1923,"R",133,"R",17,"R",1451,"R",75,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110538,"R",1880,"R",0,"R",1880,"R",484,"R",26,"R",1288,"R",69,"R",0,"R",1880,"R",68,"R",10,"R",1356,"R",72,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110547,"R",982,"R",0,"R",982,"R",50,"R",5,"R",416,"R",42,"R",0,"R",982,"R",73,"R",22,"R",489,"R",50,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110556,"R",2582,"R",0,"R",2582,"R",420,"R",16,"R",1459,"R",57,"R",0,"R",2582,"R",210,"R",53,"R",1669,"R",65,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
110565,"R",3749,"R",0,"R",3749,"R",660,"R",18,"R",2334,"R",62,"R",0,"R",3749,"R",262,"R",62,"R",2596,"R",69,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
