UNITID,XLINE_10,LINE_10,XLINE_45,LINE_45,XLINE_50,LINE_50,XLINE_55,LINE_55,XLINE_11,LINE_11,XLINE_30,LINE_30,XLINE_51,LINE_51,XLINE_52,LINE_52,XPGLIN10,PGLIN10,XPGLIN45,PGLIN45,XPGLIN50,PGLIN50,XPGLIN11,PGLIN11,XSSLIN10,SSLIN10,XSSLIN45,SSLIN45,XSSLIN50,SSLIN50,XSSLIN11,SSLIN11,XNRLIN10,NRLIN10,XNRLIN45,NRLIN45,XNRLIN50,NRLIN50,XNRLIN11,NRLIN11 
186593,"R",50,"R",0,"R",50,"R",34,"R",35,"R",0,"R",0,"R",15,"R",31,"Z",0,"R",31,"R",21,"R",14,"Z",0,"R",14,"R",13,"R",5,"Z",0,"R",5,"R",1
187505,"R",803,"R",0,"R",803,"R",379,"R",478,"R",12,"R",118,"R",195,"R",676,"Z",0,"R",676,"R",392,"R",64,"Z",0,"R",64,"R",39,"R",63,"Z",0,"R",63,"R",47
188289,"R",39,"R",0,"R",39,"R",3,"R",21,"R",0,"R",0,"R",18,"R",37,"Z",0,"R",37,"R",19,"R",1,"Z",0,"R",1,"R",1,"R",1,"Z",0,"R",1,"R",1
188650,"R",481,"R",0,"R",481,"R",387,"R",389,"Z",0,"Z",0,"R",92,"R",468,"Z",0,"R",468,"R",379,"R",5,"Z",0,"R",5,"R",3,"R",8,"Z",0,"R",8,"R",7
188890,"R",1425,"R",3,"R",1422,"R",641,"R",1047,"R",0,"R",17,"R",358,"R",907,"R",2,"R",905,"R",679,"R",80,"R",0,"R",80,"R",70,"R",438,"R",1,"R",437,"R",298
189219,"R",280,"R",0,"R",280,"R",207,"R",220,"R",7,"R",0,"R",53,"R",199,"Z",0,"R",199,"R",189,"R",26,"Z",0,"R",26,"R",21,"R",55,"Z",0,"R",55,"R",10
189404,"R",55,"R",0,"R",55,"R",31,"R",44,"R",0,"R",0,"R",11,"R",41,"Z",0,"R",41,"R",32,"R",4,"Z",0,"R",4,"R",3,"R",10,"Z",0,"R",10,"R",9
189468,"R",143,"R",0,"R",143,"R",55,"R",118,"R",0,"R",0,"R",25,"R",76,"Z",0,"R",76,"R",64,"R",36,"Z",0,"R",36,"R",34,"R",31,"Z",0,"R",31,"R",20
189477,"R",132,"R",0,"R",132,"R",32,"R",68,"R",0,"R",1,"R",63,"R",112,"Z",0,"R",112,"R",59,"R",20,"Z",0,"R",20,"R",9,"R",0,"Z",0,"R",0,"R",0
189714,"R",71,"R",0,"R",71,"R",55,"R",55,"R",0,"R",0,"R",16,"R",45,"Z",0,"R",45,"R",34,"R",14,"Z",0,"R",14,"R",12,"R",12,"Z",0,"R",12,"R",9
189954,"R",84,"R",1,"R",83,"R",42,"R",42,"R",0,"R",29,"R",12,"R",75,"R",0,"R",75,"R",42,"R",0,"R",0,"R",0,"R",0,"R",9,"R",1,"R",8,"R",0
189990,"R",48,"R",0,"R",48,"R",24,"R",43,"R",0,"R",0,"R",5,"R",13,"Z",0,"R",13,"R",12,"R",8,"Z",0,"R",8,"R",7,"R",27,"Z",0,"R",27,"R",24
190239,"R",48,"R",0,"R",48,"R",0,"R",37,"R",0,"R",0,"R",11,"R",39,"Z",0,"R",39,"R",30,"R",2,"Z",0,"R",2,"R",2,"R",7,"Z",0,"R",7,"R",5
190318,"R",67,"R",0,"R",67,"R",46,"R",46,"R",0,"R",0,"R",21,"R",61,"Z",0,"R",61,"R",42,"R",2,"Z",0,"R",2,"R",1,"R",4,"Z",0,"R",4,"R",3
191287,"R",201,"Z",0,"R",201,"R",164,"R",171,"Z",0,"Z",0,"R",30,"R",48,"Z",0,"R",48,"R",42,"R",21,"Z",0,"R",21,"R",21,"R",132,"Z",0,"R",132,"R",108
191311,"R",134,"R",0,"R",134,"R",102,"R",113,"R",0,"R",0,"R",21,"R",4,"Z",0,"R",4,"R",2,"R",5,"Z",0,"R",5,"R",4,"R",125,"Z",0,"R",125,"R",107
192484,"R",26,"R",0,"R",26,"R",17,"R",17,"R",0,"R",0,"R",9,"R",20,"Z",0,"R",20,"R",11,"R",1,"Z",0,"R",1,"R",1,"R",5,"Z",0,"R",5,"R",5
192800,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",0,"R",1,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",0,"Z",0,"R",1,"Z",0,"R",1,"Z",0
193122,"R",58,"Z",0,"R",58,"R",35,"R",37,"R",0,"R",0,"R",21,"R",31,"Z",0,"R",31,"R",21,"R",9,"Z",0,"R",9,"R",8,"R",18,"Z",0,"R",18,"R",8
193186,"R",20,"R",0,"R",20,"R",11,"R",17,"R",0,"R",0,"R",3,"R",20,"Z",0,"R",20,"R",17,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
193265,"R",85,"Z",0,"R",85,"R",72,"R",74,"R",0,"R",0,"R",11,"R",43,"Z",0,"R",43,"R",42,"R",23,"Z",0,"R",23,"R",23,"R",19,"Z",0,"R",19,"R",9
193672,"R",10,"R",0,"R",10,"R",10,"R",10,"R",0,"R",0,"R",0,"R",10,"Z",0,"R",10,"R",10,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
193858,"R",347,"R",0,"R",347,"R",221,"R",260,"R",0,"R",0,"R",87,"R",305,"Z",0,"R",305,"R",229,"R",21,"Z",0,"R",21,"R",16,"R",21,"Z",0,"R",21,"R",15
193991,"R",22,"R",0,"R",22,"R",0,"R",20,"R",0,"R",0,"R",2,"R",13,"Z",0,"R",13,"R",12,"R",2,"Z",0,"R",2,"R",2,"R",7,"Z",0,"R",7,"R",6
194259,"R",22,"R",0,"R",22,"R",18,"R",18,"R",0,"R",0,"R",4,"R",13,"Z",0,"R",13,"R",13,"R",5,"Z",0,"R",5,"R",5,"R",4,"Z",0,"R",4,"R",0
194435,"R",28,"R",0,"R",28,"R",6,"R",23,"Z",0,"Z",0,"R",5,"R",23,"Z",0,"R",23,"R",18,"R",5,"Z",0,"R",5,"R",5,"R",0,"Z",0,"R",0,"R",0
195067,"R",219,"R",0,"R",219,"R",1,"R",114,"R",0,"R",1,"R",104,"R",196,"Z",0,"R",196,"R",95,"R",16,"Z",0,"R",16,"R",12,"R",7,"Z",0,"R",7,"R",7
195933,"R",436,"R",1,"R",435,"R",246,"R",305,"R",11,"R",0,"R",119,"R",317,"R",0,"R",317,"R",214,"R",49,"R",0,"R",49,"R",41,"R",70,"R",1,"R",69,"R",50
197337,"R",19,"R",0,"R",19,"R",12,"R",12,"R",0,"R",0,"R",7,"R",16,"Z",0,"R",16,"R",9,"R",0,"Z",0,"R",0,"R",0,"R",3,"Z",0,"R",3,"R",3
198190,"R",27,"R",0,"R",27,"R",15,"R",19,"R",3,"R",1,"R",4,"R",15,"Z",0,"R",15,"R",12,"R",5,"Z",0,"R",5,"R",4,"R",7,"Z",0,"R",7,"R",3
198844,"R",68,"R",0,"R",68,"R",55,"R",65,"R",0,"R",0,"R",3,"R",44,"Z",0,"R",44,"R",44,"R",0,"Z",0,"R",0,"R",0,"R",24,"Z",0,"R",24,"R",21
199005,"R",16,"Z",0,"R",16,"R",14,"R",14,"Z",0,"Z",0,"R",2,"R",12,"Z",0,"R",12,"R",10,"R",0,"Z",0,"R",0,"R",0,"R",4,"Z",0,"R",4,"R",4
199078,"R",124,"R",0,"R",124,"R",45,"R",74,"R",0,"R",5,"R",45,"R",114,"Z",0,"R",114,"R",73,"R",5,"Z",0,"R",5,"R",0,"R",5,"Z",0,"R",5,"R",1
199670,"R",60,"R",0,"R",60,"R",6,"R",21,"R",5,"R",0,"R",34,"R",43,"Z",0,"R",43,"R",13,"R",0,"Z",0,"R",0,"R",0,"R",17,"Z",0,"R",17,"R",8
199689,"R",49,"R",0,"R",49,"R",19,"R",30,"R",0,"R",0,"R",19,"R",34,"Z",0,"R",34,"R",21,"R",5,"Z",0,"R",5,"R",4,"R",10,"Z",0,"R",10,"R",5
199980,"R",65,"R",0,"R",65,"R",16,"R",51,"R",0,"R",0,"R",14,"R",55,"Z",0,"R",55,"R",46,"R",0,"Z",0,"R",0,"R",0,"R",10,"Z",0,"R",10,"R",5
200262,"R",1,"Z",0,"R",1,"R",1,"R",1,"R",0,"Z",0,"R",0,"R",1,"Z",0,"R",1,"R",1,"R",0,"Z",0,"R",0,"R",0,"R",0,"Z",0,"R",0,"R",0
201034,"R",99,"R",0,"R",99,"R",62,"R",62,"R",0,"R",7,"R",30,"R",42,"Z",0,"R",42,"R",13,"R",5,"Z",0,"R",5,"R",2,"R",52,"Z",0,"R",52,"R",47
201098,"R",37,"R",0,"R",37,"R",30,"R",30,"R",0,"R",0,"R",7,"R",35,"Z",0,"R",35,"R",28,"R",2,"Z",0,"R",2,"R",2,"R",0,"Z",0,"R",0,"R",0
201131,"R",53,"Z",0,"R",53,"R",38,"R",38,"Z",0,"Z",0,"R",15,"R",42,"Z",0,"R",42,"R",29,"R",4,"Z",0,"R",4,"R",3,"R",7,"Z",0,"R",7,"R",6
