UNITID,XUGPO9_N,UGPO9_N,XUGPO9_T,UGPO9_T,XUGPO9_A,UGPO9_A,XGPO9_N,GPO9_N,XGPO9_T,GPO9_T,XGPO9_A,GPO9_A,XPO9_N,PO9_N,XPO9_T,PO9_T,XPO9_A,PO9_A,XUGDOD_N,UGDOD_N,XUGDOD_T,UGDOD_T,XUGDOD_A,UGDOD_A,XGDOD_N,GDOD_N,XGDOD_T,GDOD_T,XGDOD_A,GDOD_A,XDOD_N,DOD_N,XDOD_T,DOD_T,XDOD_A,DOD_A   
100654,"R",66,"R",477708,"R",7238,"R",16,"R",118292,"R",7393,"R",82,"R",596000,"R",7268,"R",4,"R",17882,"R",4471,"R",0,"R",0,"A",,"R",4,"R",17882,"R",4471
100663,"R",419,"R",3580932,"R",8546,"R",142,"R",1416165,"R",9973,"R",561,"R",4997097,"R",8907,"R",21,"R",55000,"R",2619,"R",20,"R",36859,"R",1843,"R",41,"R",91859,"R",2240
100690,"R",2,"R",1000,"R",500,"R",2,"R",500,"R",250,"R",4,"R",1500,"R",375,"R",2,"R",1000,"R",500,"R",2,"R",1000,"R",500,"R",4,"R",2000,"R",500
100706,"R",291,"R",2599975,"R",8935,"R",67,"R",409553,"R",6113,"R",358,"R",3009528,"R",8407,"R",2,"R",7500,"R",3750,"R",6,"R",10668,"R",1778,"R",8,"R",18168,"R",2271
100724,"R",141,"R",512442,"R",3634,"R",11,"R",39087,"R",3553,"R",152,"R",551529,"R",3628,"R",11,"R",48956,"R",4451,"R",0,"R",0,"A",,"R",11,"R",48956,"R",4451
100751,"R",982,"R",11337917,"R",11546,"R",130,"R",1032750,"R",7944,"R",1112,"R",12370667,"R",11125,"R",79,"R",248271,"R",3143,"R",18,"R",38500,"R",2139,"R",97,"R",286771,"R",2956
100760,"R",20,"R",61358,"R",3068,"A",,"A",,"A",,"R",20,"R",61358,"R",3068,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
100812,"R",96,"R",394468,"R",4109,"R",3,"R",9085,"R",3028,"R",99,"R",403553,"R",4076,"R",5,"R",10000,"R",2000,"R",2,"R",7406,"R",3703,"R",7,"R",17406,"R",2487
100830,"R",203,"R",3429674,"R",16895,"R",30,"R",534976,"R",17833,"R",233,"R",3964650,"R",17016,"R",12,"R",36500,"R",3042,"R",0,"R",0,"A",,"R",12,"R",36500,"R",3042
100858,"R",653,"R",7008920,"R",10733,"R",147,"R",1920454,"R",13064,"R",800,"R",8929374,"R",11162,"R",11,"R",40000,"R",3636,"R",23,"R",90349,"R",3928,"R",34,"R",130349,"R",3834
100937,"R",20,"R",526847,"R",26342,"A",,"A",,"A",,"R",20,"R",526847,"R",26342,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101028,"R",257,"R",212370,"R",826,"A",,"A",,"A",,"R",257,"R",212370,"R",826,"R",23,"R",10142,"R",441,"A",,"A",,"A",,"R",23,"R",10142,"R",441
101116,"R",55,"R",488907,"R",8889,"R",3,"R",20418,"R",6806,"R",58,"R",509325,"R",8781,"R",5,"R",7441,"R",1488,"R",0,"R",0,"A",,"R",5,"R",7441,"R",1488
101143,"R",97,"R",302335,"R",3117,"A",,"A",,"A",,"R",97,"R",302335,"R",3117,"R",6,"R",7497,"R",1250,"A",,"A",,"A",,"R",6,"R",7497,"R",1250
101161,"R",172,"R",443431,"R",2578,"A",,"A",,"A",,"R",172,"R",443431,"R",2578,"R",4,"R",8092,"R",2023,"A",,"A",,"A",,"R",4,"R",8092,"R",2023
101189,"R",137,"R",872586,"R",6369,"R",57,"R",605939,"R",10631,"R",194,"R",1478525,"R",7621,"R",21,"R",49033,"R",2335,"R",3,"R",8750,"R",2917,"R",24,"R",57783,"R",2408
101240,"R",104,"R",325711,"R",3132,"A",,"A",,"A",,"R",104,"R",325711,"R",3132,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101277,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101286,"R",183,"R",514070,"R",2809,"A",,"A",,"A",,"R",183,"R",514070,"R",2809,"R",6,"R",5039,"R",840,"A",,"A",,"A",,"R",6,"R",5039,"R",840
101295,"R",89,"R",391660,"R",4401,"A",,"A",,"A",,"R",89,"R",391660,"R",4401,"R",3,"R",4403,"R",1468,"A",,"A",,"A",,"R",3,"R",4403,"R",1468
101301,"R",4,"R",8615,"R",2154,"A",,"A",,"A",,"R",4,"R",8615,"R",2154,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101365,"R",34,"R",199997,"R",5882,"R",0,"R",0,"A",,"R",34,"R",199997,"R",5882,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
101435,"R",50,"R",806721,"R",16134,"A",,"A",,"A",,"R",50,"R",806721,"R",16134,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101453,"R",2,"R",15471,"R",7736,"R",0,"R",0,"A",,"R",2,"R",15471,"R",7736,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
101462,"R",43,"R",128905,"R",2998,"A",,"A",,"A",,"R",43,"R",128905,"R",2998,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101471,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101480,"R",119,"R",800656,"R",6728,"R",20,"R",76875,"R",3844,"R",139,"R",877531,"R",6313,"R",9,"R",25118,"R",2791,"R",4,"R",5250,"R",1313,"R",13,"R",30368,"R",2336
101505,"R",121,"R",324760,"R",2684,"A",,"A",,"A",,"R",121,"R",324760,"R",2684,"R",4,"R",4641,"R",1160,"A",,"A",,"A",,"R",4,"R",4641,"R",1160
101514,"R",277,"R",737368,"R",2662,"A",,"A",,"A",,"R",277,"R",737368,"R",2662,"R",14,"R",17993,"R",1285,"A",,"A",,"A",,"R",14,"R",17993,"R",1285
101541,"R",9,"R",87691,"R",9743,"A",,"A",,"A",,"R",9,"R",87691,"R",9743,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101569,"R",58,"R",190176,"R",3279,"A",,"A",,"A",,"R",58,"R",190176,"R",3279,"R",4,"R",6230,"R",1558,"A",,"A",,"A",,"R",4,"R",6230,"R",1558
101587,"R",22,"R",140057,"R",6366,"R",26,"R",89081,"R",3426,"R",48,"R",229138,"R",4774,"R",4,"R",11500,"R",2875,"R",4,"R",7000,"R",1750,"R",8,"R",18500,"R",2313
101602,"R",43,"R",135695,"R",3156,"A",,"A",,"A",,"R",43,"R",135695,"R",3156,"R",2,"R",2261,"R",1131,"A",,"A",,"A",,"R",2,"R",2261,"R",1131
101648,"R",11,"R",64259,"R",5842,"A",,"A",,"A",,"R",11,"R",64259,"R",5842,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101675,"R",20,"R",171067,"R",8553,"A",,"A",,"A",,"R",20,"R",171067,"R",8553,"R",3,"R",11147,"R",3716,"A",,"A",,"A",,"R",3,"R",11147,"R",3716
101693,"R",53,"R",666040,"R",12567,"R",3,"R",24338,"R",8113,"R",56,"R",690378,"R",12328,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
101709,"R",68,"R",502632,"R",7392,"R",2,"R",16640,"R",8320,"R",70,"R",519272,"R",7418,"R",2,"R",7000,"R",3500,"R",0,"R",0,"A",,"R",2,"R",7000,"R",3500
101736,"R",65,"R",150807,"R",2320,"A",,"A",,"A",,"R",65,"R",150807,"R",2320,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101879,"R",134,"R",939644,"R",7012,"R",28,"R",141926,"R",5069,"R",162,"R",1081570,"R",6676,"R",4,"R",14219,"R",3555,"R",4,"R",11250,"R",2813,"R",8,"R",25469,"R",3184
101897,"R",56,"R",158160,"R",2824,"A",,"A",,"A",,"R",56,"R",158160,"R",2824,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
101912,"R",18,"R",198098,"R",11005,"R",0,"R",0,"A",,"R",18,"R",198098,"R",11005,"R",5,"R",20450,"R",4090,"R",1,"R",1500,"R",1500,"R",6,"R",21950,"R",3658
101994,"R",5,"R",10921,"R",2184,"A",,"A",,"A",,"R",5,"R",10921,"R",2184,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
102030,"R",121,"R",270004,"R",2231,"A",,"A",,"A",,"R",121,"R",270004,"R",2231,"R",11,"R",9497,"R",863,"A",,"A",,"A",,"R",11,"R",9497,"R",863
102049,"R",61,"R",1003726,"R",16455,"R",33,"R",488333,"R",14798,"R",94,"R",1492059,"R",15873,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
102058,"R",6,"R",12390,"R",2065,"R",0,"R",0,"A",,"R",6,"R",12390,"R",2065,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
102067,"R",114,"R",269314,"R",2362,"A",,"A",,"A",,"R",114,"R",269314,"R",2362,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
102076,"R",38,"R",171049,"R",4501,"A",,"A",,"A",,"R",38,"R",171049,"R",4501,"R",1,"R",2276,"R",2276,"A",,"A",,"A",,"R",1,"R",2276,"R",2276
102094,"R",340,"R",3171336,"R",9327,"R",110,"R",1062556,"R",9660,"R",450,"R",4233892,"R",9409,"R",14,"R",26871,"R",1919,"R",7,"R",14250,"R",2036,"R",21,"R",41121,"R",1958
102234,"R",27,"R",678952,"R",25146,"R",3,"R",7511,"R",2504,"R",30,"R",686463,"R",22882,"R",19,"R",12458,"R",656,"R",39,"R",96795,"R",2482,"R",58,"R",109253,"R",1884
102270,"R",24,"R",43510,"R",1813,"A",,"A",,"A",,"R",24,"R",43510,"R",1813,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
102298,"R",2,"R",10474,"R",5237,"R",0,"R",0,"A",,"R",2,"R",10474,"R",5237,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
102313,"R",73,"R",209413,"R",2869,"A",,"A",,"A",,"R",73,"R",209413,"R",2869,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
102368,"R",1119,"R",6847319,"R",6119,"R",255,"R",1320478,"R",5178,"R",1374,"R",8167797,"R",5945,"R",1477,"R",1454600,"R",985,"R",853,"R",1719890,"R",2016,"R",2330,"R",3174490,"R",1362
102377,"R",57,"R",1000399,"R",17551,"R",4,"R",68416,"R",17104,"R",61,"R",1068815,"R",17522,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
102395,"R",23,"R",96219,"R",4183,"R",12,"R",76873,"R",6406,"R",35,"R",173092,"R",4945,"R",42,"R",105855,"R",2520,"R",10,"R",19170,"R",1917,"R",52,"R",125025,"R",2404
102429,"R",72,"R",225767,"R",3136,"A",,"A",,"A",,"R",72,"R",225767,"R",3136,"R",1,"R",2261,"R",2261,"A",,"A",,"A",,"R",1,"R",2261,"R",2261
102553,"R",1395,"R",7440872,"R",5334,"R",59,"R",438538,"R",7433,"R",1454,"R",7879410,"R",5419,"R",209,"R",324146,"R",1551,"R",6,"R",25477,"R",4246,"R",215,"R",349623,"R",1626
102580,"R",3,"R",30800,"R",10267,"A",,"A",,"A",,"R",3,"R",30800,"R",10267,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
102614,"R",562,"R",2853742,"R",5078,"R",28,"R",141464,"R",5052,"R",590,"R",2995206,"R",5077,"R",130,"R",165025,"R",1269,"R",6,"R",8106,"R",1351,"R",136,"R",173131,"R",1273
102632,"R",140,"R",466500,"R",3332,"R",3,"R",9507,"R",3169,"R",143,"R",476007,"R",3329,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
102669,"R",29,"R",290098,"R",10003,"R",13,"R",64380,"R",4952,"R",42,"R",354478,"R",8440,"R",1,"R",1500,"R",1500,"R",0,"R",0,"A",,"R",1,"R",1500,"R",1500
102711,"R",13,"R",63388,"R",4876,"A",,"A",,"A",,"R",13,"R",63388,"R",4876,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
102845,"R",322,"R",4858890,"R",15090,"R",0,"R",0,"A",,"R",322,"R",4858890,"R",15090,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
103501,"R",65,"R",401639,"R",6179,"A",,"A",,"A",,"R",65,"R",401639,"R",6179,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
103741,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
103893,"R",8,"R",66533,"R",8317,"A",,"A",,"A",,"R",8,"R",66533,"R",8317,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
103909,"R",9,"R",104085,"R",11565,"A",,"A",,"A",,"R",9,"R",104085,"R",11565,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
103927,"R",9,"R",48142,"R",5349,"A",,"A",,"A",,"R",9,"R",48142,"R",5349,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
103945,"R",6,"R",77713,"R",12952,"A",,"A",,"A",,"R",6,"R",77713,"R",12952,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
103954,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
103963,"R",234,"R",2756016,"R",11778,"A",,"A",,"A",,"R",234,"R",2756016,"R",11778,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
104090,"R",53,"R",814913,"R",15376,"R",0,"R",0,"A",,"R",53,"R",814913,"R",15376,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
104151,"R",1365,"R",13341892,"R",9774,"R",160,"R",2556248,"R",15977,"R",1525,"R",15898140,"R",10425,"R",214,"R",615030,"R",2874,"R",8,"R",12190,"R",1524,"R",222,"R",627220,"R",2825
104160,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
104179,"R",1057,"R",10759722,"R",10179,"R",305,"R",3919420,"R",12851,"R",1362,"R",14679142,"R",10778,"R",110,"R",251464,"R",2286,"R",49,"R",169171,"R",3452,"R",159,"R",420635,"R",2646
104188,"R",14,"R",160608,"R",11472,"R",0,"R",0,"A",,"R",14,"R",160608,"R",11472,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
104346,"R",187,"R",203752,"R",1090,"A",,"A",,"A",,"R",187,"R",203752,"R",1090,"R",6,"R",4386,"R",731,"A",,"A",,"A",,"R",6,"R",4386,"R",731
104391,"R",2,"R",10000,"R",5000,"A",,"A",,"A",,"R",2,"R",10000,"R",5000,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
104425,"R",333,"R",523382,"R",1572,"A",,"A",,"A",,"R",333,"R",523382,"R",1572,"R",211,"R",170271,"R",807,"A",,"A",,"A",,"R",211,"R",170271,"R",807
104434,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
104443,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
104504,"R",8,"R",80259,"R",10032,"A",,"A",,"A",,"R",8,"R",80259,"R",10032,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
104568,"R",6,"R",91237,"R",15206,"A",,"A",,"A",,"R",6,"R",91237,"R",15206,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
104577,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
104586,"R",272,"R",7038725,"R",25878,"R",6,"R",124165,"R",20694,"R",278,"R",7162890,"R",25766,"R",9,"R",14875,"R",1653,"R",0,"R",0,"A",,"R",9,"R",14875,"R",1653
104708,"R",660,"R",940457,"R",1425,"A",,"A",,"A",,"R",660,"R",940457,"R",1425,"R",30,"R",16028,"R",534,"A",,"A",,"A",,"R",30,"R",16028,"R",534
104717,"R",3105,"R",19419496,"R",6254,"R",1701,"R",9312420,"R",5475,"R",4806,"R",28731916,"R",5978,"R",2031,"R",5056299,"R",2490,"R",380,"R",943653,"R",2483,"R",2411,"R",5999952,"R",2489
105145,"R",188,"R",338464,"R",1800,"A",,"A",,"A",,"R",188,"R",338464,"R",1800,"R",1,"R",946,"R",946,"A",,"A",,"A",,"R",1,"R",946,"R",946
105154,"R",803,"R",1164948,"R",1451,"A",,"A",,"A",,"R",803,"R",1164948,"R",1451,"R",26,"R",22999,"R",885,"A",,"A",,"A",,"R",26,"R",22999,"R",885
105206,"R",151,"R",288109,"R",1908,"A",,"A",,"A",,"R",151,"R",288109,"R",1908,"R",2,"R",3427,"R",1714,"A",,"A",,"A",,"R",2,"R",3427,"R",1714
105215,"R",369,"R",3614014,"R",9794,"A",,"A",,"A",,"R",369,"R",3614014,"R",9794,"R",7,"R",3904,"R",558,"A",,"A",,"A",,"R",7,"R",3904,"R",558
105297,"R",12,"R",7910,"R",659,"A",,"A",,"A",,"R",12,"R",7910,"R",659,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
105330,"R",690,"R",4995917,"R",7240,"R",103,"R",723124,"R",7021,"R",793,"R",5719041,"R",7212,"R",82,"R",212757,"R",2595,"R",55,"R",90750,"R",1650,"R",137,"R",303507,"R",2215
105349,"R",63,"R",87875,"R",1395,"A",,"A",,"A",,"R",63,"R",87875,"R",1395,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
105367,"R",17,"R",85961,"R",5057,"R",6,"R",25949,"R",4325,"R",23,"R",111910,"R",4866,"R",4,"R",12250,"R",3063,"R",0,"R",0,"A",,"R",4,"R",12250,"R",3063
105428,"R",235,"R",300352,"R",1278,"A",,"A",,"A",,"R",235,"R",300352,"R",1278,"R",13,"R",10438,"R",803,"A",,"A",,"A",,"R",13,"R",10438,"R",803
105482,"R",2,"R",19853,"R",9927,"A",,"A",,"A",,"R",2,"R",19853,"R",9927,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
105525,"R",854,"R",1277497,"R",1496,"A",,"A",,"A",,"R",854,"R",1277497,"R",1496,"R",382,"R",261646,"R",685,"A",,"A",,"A",,"R",382,"R",261646,"R",685
105534,"R",204,"R",1998675,"R",9797,"A",,"A",,"A",,"R",204,"R",1998675,"R",9797,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
105543,"R",75,"R",932830,"R",12438,"A",,"A",,"A",,"R",75,"R",932830,"R",12438,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
105589,"R",19,"R",319124,"R",16796,"R",4,"R",27435,"R",6859,"R",23,"R",346559,"R",15068,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
105659,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
105668,"R",316,"R",219282,"R",694,"A",,"A",,"A",,"R",316,"R",219282,"R",694,"R",301,"R",193461,"R",643,"A",,"A",,"A",,"R",301,"R",193461,"R",643
105677,"R",9,"R",117450,"R",13050,"A",,"A",,"A",,"R",9,"R",117450,"R",13050,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
105747,"R",206,"R",261891,"R",1271,"A",,"A",,"A",,"R",206,"R",261891,"R",1271,"R",10,"R",7415,"R",742,"A",,"A",,"A",,"R",10,"R",7415,"R",742
105792,"R",100,"R",132265,"R",1323,"A",,"A",,"A",,"R",100,"R",132265,"R",1323,"R",2,"R",946,"R",473,"A",,"A",,"A",,"R",2,"R",946,"R",473
105899,"R",20,"R",191920,"R",9596,"A",,"A",,"A",,"R",20,"R",191920,"R",9596,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106041,"R",465,"R",6386657,"R",13735,"A",,"A",,"A",,"R",465,"R",6386657,"R",13735,"R",3,"R",7750,"R",2583,"A",,"A",,"A",,"R",3,"R",7750,"R",2583
106111,"R",2,"R",38600,"R",19300,"A",,"A",,"A",,"R",2,"R",38600,"R",19300,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106148,"R",240,"R",1869062,"R",7788,"A",,"A",,"A",,"R",240,"R",1869062,"R",7788,"R",11,"R",8604,"R",782,"A",,"A",,"A",,"R",11,"R",8604,"R",782
106245,"R",370,"R",1651754,"R",4464,"R",32,"R",163360,"R",5105,"R",402,"R",1815114,"R",4515,"R",82,"R",170723,"R",2082,"R",10,"R",26772,"R",2677,"R",92,"R",197495,"R",2147
106263,"R",29,"R",203765,"R",7026,"R",27,"R",283102,"R",10485,"R",56,"R",486867,"R",8694,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
106306,"R",7,"R",54179,"R",7740,"A",,"A",,"A",,"R",7,"R",54179,"R",7740,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106315,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106324,"R",1,"R",10972,"R",10972,"A",,"A",,"A",,"R",1,"R",10972,"R",10972,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106342,"R",4,"R",9252,"R",2313,"A",,"A",,"A",,"R",4,"R",9252,"R",2313,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106351,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106360,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106397,"R",307,"R",2051855,"R",6684,"R",101,"R",516432,"R",5113,"R",408,"R",2568287,"R",6295,"R",11,"R",30219,"R",2747,"R",37,"R",54167,"R",1464,"R",48,"R",84386,"R",1758
106412,"R",29,"R",243470,"R",8396,"R",0,"R",0,"A",,"R",29,"R",243470,"R",8396,"R",6,"R",23634,"R",3939,"R",0,"R",0,"A",,"R",6,"R",23634,"R",3939
106449,"R",187,"R",383641,"R",2052,"A",,"A",,"A",,"R",187,"R",383641,"R",2052,"R",105,"R",56109,"R",534,"A",,"A",,"A",,"R",105,"R",56109,"R",534
106458,"R",176,"R",936336,"R",5320,"R",60,"R",209033,"R",3484,"R",236,"R",1145369,"R",4853,"R",16,"R",37630,"R",2352,"R",39,"R",85838,"R",2201,"R",55,"R",123468,"R",2245
106467,"R",188,"R",1086806,"R",5781,"R",14,"R",60972,"R",4355,"R",202,"R",1147778,"R",5682,"R",21,"R",62394,"R",2971,"R",6,"R",13000,"R",2167,"R",27,"R",75394,"R",2792
106485,"R",37,"R",169549,"R",4582,"R",3,"R",7392,"R",2464,"R",40,"R",176941,"R",4424,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
106494,"R",2,"R",14882,"R",7441,"A",,"A",,"A",,"R",2,"R",14882,"R",7441,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106546,"R",28,"R",165116,"R",5897,"A",,"A",,"A",,"R",28,"R",165116,"R",5897,"R",3,"R",6563,"R",2188,"A",,"A",,"A",,"R",3,"R",6563,"R",2188
106625,"R",37,"R",110027,"R",2974,"A",,"A",,"A",,"R",37,"R",110027,"R",2974,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106704,"R",226,"R",1458596,"R",6454,"R",29,"R",129298,"R",4459,"R",255,"R",1587894,"R",6227,"R",60,"R",144301,"R",2405,"R",2,"R",1500,"R",750,"R",62,"R",145801,"R",2352
106713,"R",47,"R",285193,"R",6068,"A",,"A",,"A",,"R",47,"R",285193,"R",6068,"R",12,"R",27000,"R",2250,"A",,"A",,"A",,"R",12,"R",27000,"R",2250
106795,"R",8,"R",23814,"R",2977,"A",,"A",,"A",,"R",8,"R",23814,"R",2977,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106810,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106829,"R",6,"R",5211,"R",869,"A",,"A",,"A",,"R",6,"R",5211,"R",869,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106883,"R",16,"R",34466,"R",2154,"A",,"A",,"A",,"R",16,"R",34466,"R",2154,"R",1,"R",588,"R",588,"A",,"A",,"A",,"R",1,"R",588,"R",588
106892,"R",10,"R",46755,"R",4676,"A",,"A",,"A",,"R",10,"R",46755,"R",4676,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106908,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106980,"R",146,"R",178514,"R",1223,"A",,"A",,"A",,"R",146,"R",178514,"R",1223,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
106999,"R",14,"R",22959,"R",1640,"A",,"A",,"A",,"R",14,"R",22959,"R",1640,"R",2,"R",4376,"R",2188,"A",,"A",,"A",,"R",2,"R",4376,"R",2188
107044,"R",60,"R",927051,"R",15451,"R",8,"R",97037,"R",12130,"R",68,"R",1024088,"R",15060,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
107071,"R",52,"R",301679,"R",5802,"R",4,"R",11684,"R",2921,"R",56,"R",313363,"R",5596,"R",5,"R",21892,"R",4378,"R",0,"R",0,"A",,"R",5,"R",21892,"R",4378
107080,"R",6,"R",121213,"R",20202,"R",0,"R",0,"A",,"R",6,"R",121213,"R",20202,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
107099,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
107123,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
107141,"R",36,"R",409357,"R",11371,"R",14,"R",102161,"R",7297,"R",50,"R",511518,"R",10230,"R",1,"R",750,"R",750,"R",4,"R",5250,"R",1313,"R",5,"R",6000,"R",1200
107220,"R",3,"R",13991,"R",4664,"A",,"A",,"A",,"R",3,"R",13991,"R",4664,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
107293,"R",4,"R",31770,"R",7943,"A",,"A",,"A",,"R",4,"R",31770,"R",7943,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
