UNITID,XUGPO9_N,UGPO9_N,XUGPO9_T,UGPO9_T,XUGPO9_A,UGPO9_A,XGPO9_N,GPO9_N,XGPO9_T,GPO9_T,XGPO9_A,GPO9_A,XPO9_N,PO9_N,XPO9_T,PO9_T,XPO9_A,PO9_A,XUGDOD_N,UGDOD_N,XUGDOD_T,UGDOD_T,XUGDOD_A,UGDOD_A,XGDOD_N,GDOD_N,XGDOD_T,GDOD_T,XGDOD_A,GDOD_A,XDOD_N,DOD_N,XDOD_T,DOD_T,XDOD_A,DOD_A   
145558,"A",,"A",,"A",,"R",12,"R",185663,"R",15472,"R",12,"R",185663,"R",15472,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
145600,"R",195,"R",2232539,"R",11449,"R",74,"R",1226132,"R",16569,"R",269,"R",3458671,"R",12858,"R",4,"R",11849,"R",2962,"R",1,"R",4000,"R",4000,"R",5,"R",15849,"R",3170
145619,"R",33,"R",440736,"R",13356,"R",69,"R",886475,"R",12847,"R",102,"R",1327211,"R",13012,"R",0,"R",0,"A",,"R",12,"R",19077,"R",1590,"R",12,"R",19077,"R",1590
145628,"A",,"A",,"A",,"R",4,"R",64743,"R",16186,"R",4,"R",64743,"R",16186,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
145637,"R",167,"R",2114325,"R",12661,"R",65,"R",719560,"R",11070,"R",232,"R",2833885,"R",12215,"R",1,"R",4500,"R",4500,"R",12,"R",40000,"R",3333,"R",13,"R",44500,"R",3423
145646,"R",5,"R",119646,"R",23929,"A",,"A",,"A",,"R",5,"R",119646,"R",23929,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
145682,"R",93,"R",254509,"R",2737,"A",,"A",,"A",,"R",93,"R",254509,"R",2737,"R",4,"R",3575,"R",894,"A",,"A",,"A",,"R",4,"R",3575,"R",894
145691,"R",14,"R",274563,"R",19612,"R",0,"R",0,"A",,"R",14,"R",274563,"R",19612,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
145707,"R",10,"R",34329,"R",3433,"A",,"A",,"A",,"R",10,"R",34329,"R",3433,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
145725,"R",39,"R",664745,"R",17045,"R",19,"R",228796,"R",12042,"R",58,"R",893541,"R",15406,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
145770,"R",8,"R",63280,"R",7910,"R",10,"R",103547,"R",10355,"R",18,"R",166827,"R",9268,"R",0,"R",0,"A",,"R",1,"R",4000,"R",4000,"R",1,"R",4000,"R",4000
145813,"R",171,"R",1673441,"R",9786,"R",16,"R",59936,"R",3746,"R",187,"R",1733377,"R",9269,"R",3,"R",9500,"R",3167,"R",0,"R",0,"A",,"R",3,"R",9500,"R",3167
145831,"R",27,"R",59072,"R",2188,"A",,"A",,"A",,"R",27,"R",59072,"R",2188,"R",1,"R",1839,"R",1839,"A",,"A",,"A",,"R",1,"R",1839,"R",1839
145886,"A",,"A",,"A",,"R",3,"R",47050,"R",15683,"R",3,"R",47050,"R",15683,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
146205,"R",76,"R",176138,"R",2318,"A",,"A",,"A",,"R",76,"R",176138,"R",2318,"R",3,"R",3218,"R",1073,"A",,"A",,"A",,"R",3,"R",3218,"R",1073
146241,"A",,"A",,"A",,"R",15,"R",352060,"R",23471,"R",15,"R",352060,"R",23471,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
146278,"R",42,"R",121804,"R",2900,"A",,"A",,"A",,"R",42,"R",121804,"R",2900,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
146296,"R",97,"R",284728,"R",2935,"A",,"A",,"A",,"R",97,"R",284728,"R",2935,"R",4,"R",2350,"R",588,"A",,"A",,"A",,"R",4,"R",2350,"R",588
146339,"R",18,"R",25782,"R",1432,"R",9,"R",62510,"R",6946,"R",27,"R",88292,"R",3270,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
146348,"R",45,"R",109378,"R",2431,"A",,"A",,"A",,"R",45,"R",109378,"R",2431,"R",1,"R",3082,"R",3082,"A",,"A",,"A",,"R",1,"R",3082,"R",3082
146366,"R",29,"R",99630,"R",3436,"A",,"A",,"A",,"R",29,"R",99630,"R",3436,"R",1,"R",1123,"R",1123,"A",,"A",,"A",,"R",1,"R",1123,"R",1123
146418,"R",47,"R",134276,"R",2857,"A",,"A",,"A",,"R",47,"R",134276,"R",2857,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
146427,"R",5,"R",81661,"R",16332,"A",,"A",,"A",,"R",5,"R",81661,"R",16332,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
146454,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
146472,"R",222,"R",492747,"R",2220,"A",,"A",,"A",,"R",222,"R",492747,"R",2220,"R",91,"R",83287,"R",915,"A",,"A",,"A",,"R",91,"R",83287,"R",915
146481,"R",7,"R",169557,"R",24222,"R",0,"R",0,"A",,"R",7,"R",169557,"R",24222,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
146490,"A",,"A",,"A",,"R",5,"R",77530,"R",15506,"R",5,"R",77530,"R",15506,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
146506,"R",48,"R",100835,"R",2101,"A",,"A",,"A",,"R",48,"R",100835,"R",2101,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
146533,"R",5,"R",55682,"R",11136,"A",,"A",,"A",,"R",5,"R",55682,"R",11136,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
146603,"R",68,"R",168142,"R",2473,"A",,"A",,"A",,"R",68,"R",168142,"R",2473,"R",2,"R",1549,"R",775,"A",,"A",,"A",,"R",2,"R",1549,"R",775
146612,"R",211,"R",3056935,"R",14488,"R",70,"R",582031,"R",8315,"R",281,"R",3638966,"R",12950,"R",264,"R",442750,"R",1677,"R",12,"R",52565,"R",4380,"R",276,"R",495315,"R",1795
146667,"R",12,"R",91109,"R",7592,"R",8,"R",34223,"R",4278,"R",20,"R",125332,"R",6267,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
146676,"R",9,"R",73935,"R",8215,"A",,"A",,"A",,"R",9,"R",73935,"R",8215,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
146685,"R",103,"R",256387,"R",2489,"A",,"A",,"A",,"R",103,"R",256387,"R",2489,"R",1,"R",629,"R",629,"A",,"A",,"A",,"R",1,"R",629,"R",629
146700,"R",35,"R",405952,"R",11599,"A",,"A",,"A",,"R",35,"R",405952,"R",11599,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
146719,"R",141,"R",3186357,"R",22598,"R",44,"R",697878,"R",15861,"R",185,"R",3884235,"R",20996,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
146728,"A",,"A",,"A",,"R",3,"R",19485,"R",6495,"R",3,"R",19485,"R",6495,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
146755,"R",6,"R",72187,"R",12031,"R",0,"R",0,"A",,"R",6,"R",72187,"R",12031,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
146807,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
146816,"R",3,"R",18576,"R",6192,"A",,"A",,"A",,"R",3,"R",18576,"R",6192,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
146825,"R",5,"R",1647,"R",329,"A",,"A",,"A",,"R",5,"R",1647,"R",329,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
147004,"R",107,"R",248256,"R",2320,"A",,"A",,"A",,"R",107,"R",248256,"R",2320,"R",1,"R",936,"R",936,"A",,"A",,"A",,"R",1,"R",936,"R",936
147013,"R",171,"R",2021757,"R",11823,"R",54,"R",414633,"R",7678,"R",225,"R",2436390,"R",10828,"R",54,"R",122670,"R",2272,"R",1,"R",2500,"R",2500,"R",55,"R",125170,"R",2276
147031,"A",,"A",,"A",,"P",1,"P",7433,"P",7433,"P",1,"P",7433,"P",7433,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",
147129,"R",11,"R",166527,"R",15139,"R",0,"R",0,"A",,"R",11,"R",166527,"R",15139,"R",1,"R",1750,"R",1750,"R",0,"R",0,"A",,"R",1,"R",1750,"R",1750
147165,"R",3,"R",29806,"R",9935,"A",,"A",,"A",,"R",3,"R",29806,"R",9935,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
147244,"R",17,"R",179363,"R",10551,"R",0,"R",0,"A",,"R",17,"R",179363,"R",10551,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
147341,"R",4,"R",116074,"R",29019,"A",,"A",,"A",,"R",4,"R",116074,"R",29019,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
147369,"R",19,"R",118334,"R",6228,"R",7,"R",42813,"R",6116,"R",26,"R",161147,"R",6198,"R",10,"R",24250,"R",2425,"R",4,"R",7000,"R",1750,"R",14,"R",31250,"R",2232
147378,"R",112,"R",318404,"R",2843,"A",,"A",,"A",,"R",112,"R",318404,"R",2843,"R",2,"R",1952,"R",976,"A",,"A",,"A",,"R",2,"R",1952,"R",976
147396,"R",2,"R",24477,"R",12239,"A",,"A",,"A",,"R",2,"R",24477,"R",12239,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
147411,"R",32,"R",87946,"R",2748,"A",,"A",,"A",,"R",32,"R",87946,"R",2748,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
147439,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
147536,"R",41,"R",376084,"R",9173,"R",19,"R",163033,"R",8581,"R",60,"R",539117,"R",8985,"R",1,"R",1525,"R",1525,"R",0,"R",0,"A",,"R",1,"R",1525,"R",1525
147590,"R",1,"R",3353,"R",3353,"R",13,"R",238836,"R",18372,"R",14,"R",242189,"R",17299,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
147642,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
147660,"R",26,"R",505143,"R",19429,"R",5,"R",49963,"R",9993,"R",31,"R",555106,"R",17907,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
147679,"R",25,"R",425366,"R",17015,"R",4,"R",63335,"R",15834,"R",29,"R",488701,"R",16852,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
147703,"R",188,"R",1817362,"R",9667,"R",49,"R",352061,"R",7185,"R",237,"R",2169423,"R",9154,"R",4,"R",9000,"R",2250,"R",1,"R",1500,"R",1500,"R",5,"R",10500,"R",2100
147767,"R",35,"R",929762,"R",26565,"R",178,"R",3729895,"R",20954,"R",213,"R",4659657,"R",21876,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
147776,"R",249,"R",1740447,"R",6990,"R",92,"R",358860,"R",3901,"R",341,"R",2099307,"R",6156,"R",6,"R",17742,"R",2957,"R",0,"R",0,"A",,"R",6,"R",17742,"R",2957
147800,"R",99,"R",238345,"R",2408,"A",,"A",,"A",,"R",99,"R",238345,"R",2408,"R",6,"R",7581,"R",1264,"A",,"A",,"A",,"R",6,"R",7581,"R",1264
147819,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
147828,"R",56,"R",858966,"R",15339,"R",24,"R",168618,"R",7026,"R",80,"R",1027584,"R",12845,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
147916,"R",53,"R",224756,"R",4241,"A",,"A",,"A",,"R",53,"R",224756,"R",4241,"R",4,"R",9992,"R",2498,"A",,"A",,"A",,"R",4,"R",9992,"R",2498
148007,"R",114,"R",178848,"R",1569,"A",,"A",,"A",,"R",114,"R",178848,"R",1569,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
148016,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
148098,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
148131,"R",14,"R",207765,"R",14840,"R",0,"R",0,"A",,"R",14,"R",207765,"R",14840,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
148256,"R",45,"R",126904,"R",2820,"A",,"A",,"A",,"R",45,"R",126904,"R",2820,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
148292,"R",19,"R",56066,"R",2951,"A",,"A",,"A",,"R",19,"R",56066,"R",2951,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
148335,"R",86,"R",1465530,"R",17041,"R",25,"R",410104,"R",16404,"R",111,"R",1875634,"R",16898,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
148380,"R",71,"R",152221,"R",2144,"A",,"A",,"A",,"R",71,"R",152221,"R",2144,"R",4,"R",2870,"R",718,"A",,"A",,"A",,"R",4,"R",2870,"R",718
148399,"R",20,"R",204831,"R",10242,"A",,"A",,"A",,"R",20,"R",204831,"R",10242,"R",0,"R",0,"A",,"A",,"A",,"A",,"R",0,"R",0,"A",
148405,"R",23,"R",342242,"R",14880,"R",2,"R",37865,"R",18933,"R",25,"R",380107,"R",15204,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
148487,"R",33,"R",258407,"R",7831,"R",1,"R",2000,"R",2000,"R",34,"R",260407,"R",7659,"R",0,"R",0,"A",,"R",0,"R",0,"A",,"R",0,"R",0,"A",
