UNITID,XSANIN01,SANIN01,XSANIT01,SANIT01,XSANIN02,SANIN02,XSANIT02,SANIT02,XSANIN03,SANIN03,XSANIT03,SANIT03,XSANIN04,SANIN04,XSANIT04,SANIT04,XSANIN05,SANIN05,XSANIT05,SANIT05,XSANIN06,SANIN06,XSANIT06,SANIT06,XSANIN07,SANIN07,XSANIT07,SANIT07,XSANIN08,SANIN08,XSANIT08,SANIT08,XSANIN09,SANIN09,XSANIT09,SANIT09,XSANIN10,SANIN10,XSANIT10,SANIT10,XSANIN11,SANIN11,XSANIT11,SANIT11,XSANIN12,SANIN12,XSANIT12,SANIT12,XSANIN13,SANIN13,XSANIT13,SANIT13,XSANIN14,SANIN14,XSANIT14,SANIT14 
484932,"R",61,"R",3411462,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",23,"R",1563644,"R",3,"R",133670,"R",6,"R",304026,"R",1,"R",41723,"R",1,"R",45633,"R",3,"R",136460,"Z",0,"Z",0,"R",24,"R",1186306,"Z",0,"Z",0,"Z",0,"Z",0
485111,"R",365,"R",14704292,"Z",0,"Z",0,"Z",0,"Z",0,"R",55,"R",1985921,"R",59,"R",4364754,"R",22,"R",946277,"R",12,"R",594491,"R",35,"R",1313616,"R",6,"R",257147,"R",68,"R",1966743,"Z",0,"Z",0,"R",108,"R",3275343,"Z",0,"Z",0,"Z",0,"Z",0
485139,"R",12,"R",682780,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",317890,"R",2,"R",240890,"Z",0,"Z",0,"R",2,"R",87000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",37000,"Z",0,"Z",0,"Z",0,"Z",0
485263,"R",31,"R",1526731,"Z",0,"Z",0,"Z",0,"Z",0,"R",8,"R",346864,"R",3,"R",187875,"R",9,"R",390222,"R",1,"R",43358,"Z",0,"Z",0,"R",1,"R",43358,"Z",0,"Z",0,"R",8,"R",471696,"R",1,"R",43358,"Z",0,"Z",0,"Z",0,"Z",0
485272,"R",46,"R",3191101,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",194461,"R",17,"R",1766767,"R",6,"R",320672,"R",1,"R",66976,"R",5,"R",285555,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",13,"R",556670,"Z",0,"Z",0,"Z",0,"Z",0
485290,"R",6,"R",797721,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",5,"R",746221,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",51500,"Z",0,"Z",0,"Z",0,"Z",0
485403,"R",14,"R",1313364,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",392264,"R",6,"R",669236,"R",1,"R",58000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",193864,"Z",0,"Z",0,"Z",0,"Z",0
485458,"R",117,"R",4900158,"Z",0,"Z",0,"R",1,"R",30600,"R",34,"R",1232880,"R",16,"R",1393962,"R",7,"R",328668,"R",7,"R",320808,"R",3,"R",129216,"Z",0,"Z",0,"R",20,"R",518088,"Z",0,"Z",0,"R",29,"R",945936,"Z",0,"Z",0,"Z",0,"Z",0
485467,"R",106,"R",7567009,"Z",0,"Z",0,"Z",0,"Z",0,"R",11,"R",619792,"R",32,"R",3912282,"R",12,"R",964136,"R",10,"R",603484,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",41,"R",1467315,"Z",0,"Z",0,"Z",0,"Z",0
485519,"R",17,"R",915075,"Z",0,"Z",0,"Z",0,"Z",0,"R",4,"R",185120,"R",5,"R",419823,"R",5,"R",229406,"R",2,"R",59743,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",20983,"Z",0,"Z",0,"Z",0,"Z",0
485537,"R",1064,"R",74956797,"R",47,"R",1817272,"Z",0,"Z",0,"R",1,"R",41820,"R",80,"R",10156083,"R",35,"R",1883885,"R",8,"R",524146,"Z",0,"Z",0,"R",605,"R",49638254,"R",29,"R",986072,"Z",0,"Z",0,"R",244,"R",9290787,"R",15,"R",618478,"Z",0,"Z",0
485546,"R",25,"R",1580000,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",300000,"R",6,"R",650000,"R",5,"R",200000,"R",1,"R",55000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",375000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0
485768,"R",11,"R",590000,"Z",0,"Z",0,"Z",0,"Z",0,"R",6,"R",240000,"R",3,"R",265000,"R",1,"R",45000,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",40000,"Z",0,"Z",0,"Z",0,"Z",0
485908,"R",8,"R",524303,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",130000,"R",3,"R",223692,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",170611,"Z",0,"Z",0,"Z",0,"Z",0
485999,"R",7,"R",292115,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",1,"R",48366,"R",1,"R",66288,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",3,"R",120701,"Z",0,"Z",0,"R",2,"R",56760,"Z",0,"Z",0,"Z",0,"Z",0
486017,"R",2,"R",86400,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",2,"R",86400,"Z",0,"Z",0,"Z",0,"Z",0
